Time,Object,Action,Details,User,Name
6/12/2018 8:43,Gain Optimization v5,Gain Optimization v5 completed successfully,,kiosk_validation,
6/12/2018 8:43,Gain Optimization v5,Voltage=2011.000000 AreaPerIon=110.555737,,kiosk_validation,
6/12/2018 8:41,Gain Optimization v5,Voltage=2011.000000 AreaPerIon=111.595466,,kiosk_validation,
6/12/2018 8:40,Gain Optimization v5,Setting detector voltage to 2011.000000,,kiosk_validation,
6/12/2018 8:40,Gain Optimization v5,Voltage=2006.200000 AreaPerIon=106.132322,,kiosk_validation,
6/12/2018 8:39,Gain Optimization v5,Setting detector voltage to 2006.200000,,kiosk_validation,
6/12/2018 8:39,Gain Optimization v5,Voltage adjustment required.  TargetAreaPerIon=110.000000 AreaPerIon=116.525843,,kiosk_validation,
6/12/2018 8:39,Gain Optimization v5,Voltage=2018.700000 AreaPerIon=116.525843,,kiosk_validation,
6/12/2018 8:38,Gain Optimization v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 8:38,Gain Optimization v5,Gain Optimization v5 starting. Target AreaPerIon is 110.000000,,kiosk_validation,
6/12/2018 5:12,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 5:12,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=118.753422,,kiosk_validation,
6/12/2018 5:11,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 5:11,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 5:10,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 5:10,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=119.030821,,kiosk_validation,
6/12/2018 5:09,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 5:09,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 5:08,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 5:08,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=117.543057,,kiosk_validation,
6/12/2018 5:07,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 5:07,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 1:40,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 1:40,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=118.247116,,kiosk_validation,
6/12/2018 1:39,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 1:39,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 1:38,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 1:38,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=118.627917,,kiosk_validation,
6/12/2018 1:37,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 1:37,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 1:36,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 1:36,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=116.762134,,kiosk_validation,
6/12/2018 1:34,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/12/2018 1:34,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 22:09,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 22:09,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=114.343508,,kiosk_validation,
6/11/2018 22:08,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 22:08,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 22:07,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 22:07,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=117.129286,,kiosk_validation,
6/11/2018 22:06,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 22:06,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 22:05,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 22:05,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.762288,,kiosk_validation,
6/11/2018 22:03,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 22:03,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 18:38,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 18:38,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=115.545184,,kiosk_validation,
6/11/2018 18:36,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 18:36,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 18:36,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 18:36,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=114.029438,,kiosk_validation,
6/11/2018 18:34,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 18:34,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 18:34,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 18:34,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.707264,,kiosk_validation,
6/11/2018 18:32,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 18:32,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 15:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 15:06,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.783196,,kiosk_validation,
6/11/2018 15:05,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 15:05,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 15:04,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 15:04,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.667433,,kiosk_validation,
6/11/2018 15:02,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 15:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 15:02,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 15:02,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.413786,,kiosk_validation,
6/11/2018 15:00,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 15:00,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 11:32,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 11:32,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.233795,,kiosk_validation,
6/11/2018 11:30,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 11:30,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 11:30,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 11:30,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.301121,,kiosk_validation,
6/11/2018 11:28,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 11:28,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 11:28,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 11:28,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.014106,,kiosk_validation,
6/11/2018 11:26,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/11/2018 11:26,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/10/2018 1:08,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/10/2018 1:08,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.351321,,kiosk_validation,
6/10/2018 1:06,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/10/2018 1:06,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/10/2018 1:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/10/2018 1:06,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.886341,,kiosk_validation,
6/10/2018 1:04,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/10/2018 1:04,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/10/2018 1:03,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/10/2018 1:03,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.318645,,kiosk_validation,
6/10/2018 1:02,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/10/2018 1:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 21:33,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 21:33,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.837780,,kiosk_validation,
6/9/2018 21:32,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 21:32,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 21:31,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 21:31,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.551225,,kiosk_validation,
6/9/2018 21:29,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 21:29,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 21:29,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 21:29,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.305441,,kiosk_validation,
6/9/2018 21:27,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 21:27,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 17:57,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 17:57,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.657419,,kiosk_validation,
6/9/2018 17:56,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 17:56,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 17:55,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 17:55,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.515924,,kiosk_validation,
6/9/2018 17:54,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 17:54,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 17:53,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 17:53,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.934943,,kiosk_validation,
6/9/2018 17:52,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 17:52,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 14:22,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 14:22,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.461725,,kiosk_validation,
6/9/2018 14:21,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 14:21,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 14:20,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 14:20,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.812336,,kiosk_validation,
6/9/2018 14:19,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 14:19,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 14:18,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 14:18,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.014715,,kiosk_validation,
6/9/2018 14:17,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 14:17,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 10:46,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 10:46,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.047331,,kiosk_validation,
6/9/2018 10:45,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 10:45,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 10:44,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 10:44,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.110742,,kiosk_validation,
6/9/2018 10:43,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 10:43,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 10:42,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 10:42,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.735695,,kiosk_validation,
6/9/2018 10:41,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 10:41,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 7:11,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 7:11,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.277252,,kiosk_validation,
6/9/2018 7:10,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 7:10,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 7:09,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 7:09,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.785991,,kiosk_validation,
6/9/2018 7:08,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 7:08,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 7:07,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 7:07,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.411484,,kiosk_validation,
6/9/2018 7:06,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 7:06,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 3:36,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 3:36,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.003510,,kiosk_validation,
6/9/2018 3:35,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 3:35,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 3:34,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 3:34,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.393640,,kiosk_validation,
6/9/2018 3:32,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 3:32,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 3:32,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 3:32,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.580265,,kiosk_validation,
6/9/2018 3:30,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 3:30,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 0:01,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 0:01,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.991604,,kiosk_validation,
6/9/2018 0:00,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/9/2018 0:00,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 23:59,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 23:59,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.106343,,kiosk_validation,
6/8/2018 23:58,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 23:58,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 23:57,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 23:57,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.061546,,kiosk_validation,
6/8/2018 23:56,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 23:56,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 20:26,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 20:26,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.851768,,kiosk_validation,
6/8/2018 20:25,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 20:25,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 20:24,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 20:24,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=113.020348,,kiosk_validation,
6/8/2018 20:23,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 20:23,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 20:22,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 20:22,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.315790,,kiosk_validation,
6/8/2018 20:21,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 20:21,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 16:52,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 16:52,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=111.569777,,kiosk_validation,
6/8/2018 16:50,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 16:50,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 16:50,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 16:50,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.763087,,kiosk_validation,
6/8/2018 16:48,Detector Measurement v5,Setting detector voltage to 2018.700000,,kiosk_validation,
6/8/2018 16:48,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/8/2018 16:48,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/8/2018 16:48,Detector Measurement v5,Voltage=2018.700000 AreaPerIon=112.573254,,kiosk_validation,
