,QC Method,Type,Folder,Name,Date,Time,Status,Vial,AS Method,Chromatographic Method,MS Method,DP Method,Update Calibration,Cal. Std. to Replace
1,Do Nothing,Auto-Tune,Method Development,Auto-Tune,4/2/2018,8:32:05 AM,Acquisition 1 of 4: Collecting,1,,Pest 1D,Pest 1D,,,
2,Do Nothing,Source and Analyzer Focus,Method Development,Auto-Tune - Source and Analyzer Focus:2,4/2/2018,8:53:46 AM,Done,2,,Pest 1D,Pest 1D,,,
3,Do Nothing,Mass Calibration,Method Development,Auto-Tune - Mass Calibration,4/2/2018,8:54:48 AM,Done,2,,Pest 1D,Pest 1D,,,
4,Do Nothing,Gain Optimization,Method Development,Auto-Tune - Gain Optimization,4/2/2018,8:59:09 AM,Done,2,,Pest 1D,Pest 1D,,,
5,Do Nothing,Tune Validation,Method Development,Auto-Tune - Tune Validation,4/2/2018,9:01:13 AM,Done,2,,Pest 1D,Pest 1D,,,
6,Do Nothing,Auto-Tune,Method Development,Auto-Tune,4/2/2018,9:01:13 AM,Acquisition 4 of 4: Done,2,,Pest 1D,Pest 1D,,,
7,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col,4/2/2018,9:36:18 AM,Done,1,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
8,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col:2,4/2/2018,10:22:42 AM,Done,1,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
9,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col:3,4/2/2018,11:09:02 AM,Done,1,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
10,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col:4,4/2/2018,11:55:21 AM,Done,1,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
11,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col:5,4/2/2018,12:41:26 PM,Done,1,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
12,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col,4/2/2018,1:27:49 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
13,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:2,4/2/2018,2:13:43 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
14,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:3,4/2/2018,2:59:43 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
15,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:4,4/2/2018,3:45:13 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
16,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:5,4/2/2018,4:31:15 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
17,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col,4/2/2018,5:17:00 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
18,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col:2,4/2/2018,6:02:40 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
19,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col:3,4/2/2018,6:48:39 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
20,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col:4,4/2/2018,7:35:07 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
21,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col:5,4/2/2018,8:21:21 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
22,Do Nothing,Sample,Method Development,Alkanes,4/2/2018,9:19:12 PM,Done,4,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
23,Do Nothing,Sample,Method Development,Alkanes:2,4/2/2018,10:17:45 PM,Done,4,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
24,Do Nothing,Sample,Method Development,Alkanes:3,4/2/2018,11:15:54 PM,Done,4,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
25,Do Nothing,Sample,Method Development,Alkanes:4,4/3/2018,12:14:29 AM,Done,4,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
26,Do Nothing,Sample,Method Development,Alkanes:5,4/3/2018,1:12:46 AM,Done,4,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
27,Do Nothing,Source and Analyzer Focus,1D,Auto-Tune - Source and Analyzer Focus,4/4/2018,11:30:28 AM,Done,150,,Pest 1D,Pest 1D,,,
28,Do Nothing,Mass Calibration,1D,Auto-Tune - Mass Calibration,4/4/2018,11:31:31 AM,Done,150,,Pest 1D,Pest 1D,,,
29,Do Nothing,Gain Optimization,1D,Auto-Tune - Gain Optimization,4/4/2018,11:39:18 AM,Done,150,,Pest 1D,Pest 1D,,,
30,Do Nothing,Tune Validation,1D,Auto-Tune - Tune Validation,4/4/2018,11:41:21 AM,Done,150,,Pest 1D,Pest 1D,,,
31,Do Nothing,Auto-Tune,1D,Auto-Tune,4/4/2018,11:41:22 AM,Acquisition 4 of 4: Done,150,,Pest 1D,Pest 1D,,,
32,Do Nothing,Sample,1D,,4/4/2018,11:48:34 AM,Aborted,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
33,Do Nothing,Sample,1D,DCM Blank,4/4/2018,12:28:26 PM,Done,150,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
34,Do Nothing,Sample,1D,DCM Blank:2,4/4/2018,1:14:22 PM,Done,150,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
35,Do Nothing,Sample,1D,DCM Blank:3,4/4/2018,2:00:27 PM,Done,150,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
