,QC Method,Type,Folder,Name,Date,Time,Status,Vial,AS Method,Chromatographic Method,MS Method,DP Method,Update Calibration,Cal. Std. to Replace
1,Do Nothing,Gain Optimization,Method Development,Auto-Tune - Gain Optimization,3/28/2018,10:28:03 AM,Done,1,,Pest 1D,Pest 1D,,,
2,Do Nothing,Tune Validation,Method Development,Auto-Tune - Tune Validation,3/28/2018,10:30:04 AM,Done,1,,Pest 1D,Pest 1D,,,
3,Do Nothing,Auto-Tune,Method Development,Auto-Tune,3/28/2018,10:30:04 AM,Acquisition 4 of 4: Done,1,,Pest 1D,Pest 1D,,,
4,Do Nothing,Sample,Method Development,Toluene - Find Solvent Peak,3/28/2018,11:06:06 AM,Done,1,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,,,
5,,Pause,Acquired Samples,,3/28/2018,11:06:07 AM,Paused,,,,,,,
6,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col,3/28/2018,12:33:09 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,,,
7,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col:2,3/28/2018,1:24:55 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,,,
8,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col,3/28/2018,2:12:39 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
9,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:2,3/28/2018,2:55:33 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
10,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:3,3/28/2018,3:38:33 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
11,Do Nothing,Sample,Method Development,Pest IS #1 0.1ng/uL split 20-1 5pg on col,3/28/2018,4:21:32 PM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
12,Do Nothing,Sample,Method Development,Pest IS #1 0.1ng/uL split 20-1 5pg on col:2,3/28/2018,5:04:28 PM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
13,Do Nothing,Sample,Method Development,Pest IS #1 0.1ng/uL split 20-1 5pg on col:3,3/28/2018,5:47:21 PM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Generic PF & Spec Lib,,
14,Do Nothing,Sample,Method Development,Alkanes #11 2ng/uL split 20-1 100pg on col,3/28/2018,6:41:17 PM,Done,5,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
15,Do Nothing,Sample,Method Development,Alkanes #11 2ng/uL split 20-1 100pg on col:2,3/28/2018,7:35:56 PM,Done,5,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
16,Do Nothing,Sample,Method Development,Alkanes #11 2ng/uL split 20-1 100pg on col:3,3/28/2018,8:30:43 PM,Done,5,Agilent 5uL syringe 1uL injection,Alkanes 1D MD 1,Pest 1D,Generic PF & Spec Lib,,
17,Do Nothing,Source and Analyzer Focus,Method Development,Auto-Tune - Source and Analyzer Focus,3/29/2018,11:20:53 AM,Done,1,,Pest 1D,Pest 1D,,,
18,Do Nothing,Mass Calibration,Method Development,Auto-Tune - Mass Calibration,3/29/2018,11:21:58 AM,Done,1,,Pest 1D,Pest 1D,,,
19,Do Nothing,Gain Optimization,Method Development,Auto-Tune - Gain Optimization,3/29/2018,11:24:01 AM,Done,1,,Pest 1D,Pest 1D,,,
20,Do Nothing,Tune Validation,Method Development,Auto-Tune - Tune Validation,3/29/2018,11:26:04 AM,Done,1,,Pest 1D,Pest 1D,,,
21,Do Nothing,Auto-Tune,Method Development,Auto-Tune,3/29/2018,11:26:04 AM,Acquisition 4 of 4: Done,1,,Pest 1D,Pest 1D,,,
22,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col,3/29/2018,12:04:23 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
23,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col,3/29/2018,12:51:46 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
24,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col,3/29/2018,1:37:04 PM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
25,Do Nothing,Sample,Method Development,Alkanes #11 2ng/uL split 20-1 100pg on col,3/29/2018,2:24:53 PM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
26,Do Nothing,Sample,Method Development,Pest Std #1 5ng/uL split 20-1 250pg on col:2,3/29/2018,3:09:59 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
27,Do Nothing,Sample,Method Development,Pest Std #6 5ng/uL split 20-1 250pg on col:2,3/29/2018,3:55:11 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
28,Do Nothing,Sample,Method Development,Pest IS 0.1ng/uL split 20-1 5pg on col:2,3/29/2018,4:40:13 PM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
29,Do Nothing,Sample,Method Development,Alkanes #11 2ng/uL split 20-1 100pg on col:2,3/29/2018,5:26:16 PM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
30,Do Nothing,Source and Analyzer Focus,Reps,Auto-Tune - Source and Analyzer Focus,3/29/2018,5:54:40 PM,Done,1,,Pest 1D,Pest 1D,,,
31,Do Nothing,Mass Calibration,Reps,Auto-Tune - Mass Calibration,3/29/2018,5:55:41 PM,Done,1,,Pest 1D,Pest 1D,,,
32,Do Nothing,Gain Optimization,Reps,Auto-Tune - Gain Optimization,3/29/2018,6:00:05 PM,Done,1,,Pest 1D,Pest 1D,,,
33,Do Nothing,Tune Validation,Reps,Auto-Tune - Tune Validation,3/29/2018,6:02:09 PM,Done,1,,Pest 1D,Pest 1D,,,
34,Do Nothing,Auto-Tune,Reps,Auto-Tune,3/29/2018,6:02:09 PM,Acquisition 4 of 4: Done,1,,Pest 1D,Pest 1D,,,
35,Do Nothing,Sample,Reps,Pest Std #1 5ng/uL split 20-1 250pg on col,3/29/2018,6:40:18 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
36,Do Nothing,Sample,Reps,Pest Std #1 5ng/uL split 20-1 250pg on col:2,3/29/2018,7:26:04 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
37,Do Nothing,Sample,Reps,Pest Std #1 5ng/uL split 20-1 250pg on col:3,3/29/2018,8:11:51 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
38,Do Nothing,Sample,Reps,Pest Std #1 5ng/uL split 20-1 250pg on col:4,3/29/2018,8:57:35 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
39,Do Nothing,Sample,Reps,Pest Std #1 5ng/uL split 20-1 250pg on col:5,3/29/2018,9:43:19 PM,Done,2,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
40,Do Nothing,Sample,Reps,Pest Std #6 5ng/uL split 20-1 250pg on col,3/29/2018,10:29:03 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
41,Do Nothing,Sample,Reps,Pest Std #6 5ng/uL split 20-1 250pg on col:2,3/29/2018,11:14:03 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
42,Do Nothing,Sample,Reps,Pest Std #6 5ng/uL split 20-1 250pg on col:3,3/29/2018,11:58:58 PM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
43,Do Nothing,Sample,Reps,Pest Std #6 5ng/uL split 20-1 250pg on col:4,3/30/2018,12:44:50 AM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
44,Do Nothing,Sample,Reps,Pest Std #6 5ng/uL split 20-1 250pg on col:5,3/30/2018,1:30:32 AM,Done,3,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib Search RI Filtered,,
45,Do Nothing,Sample,Reps,Pest IS #1 0.1ng/uL split 20-1 5pg on col,3/30/2018,2:16:16 AM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
46,Do Nothing,Sample,Reps,Pest IS #1 0.1ng/uL split 20-1 5pg on col:2,3/30/2018,3:02:00 AM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
47,Do Nothing,Sample,Reps,Pest IS #1 0.1ng/uL split 20-1 5pg on col:3,3/30/2018,3:47:44 AM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
48,Do Nothing,Sample,Reps,Pest IS #1 0.1ng/uL split 20-1 5pg on col:4,3/30/2018,4:33:26 AM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
49,Do Nothing,Sample,Reps,Pest IS #1 0.1ng/uL split 20-1 5pg on col:5,3/30/2018,5:19:11 AM,Done,4,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Apply Pest IS Ref,,
50,Do Nothing,Sample,Reps,Alkanes #11 2ng/uL split 20-1 100pg on col,3/30/2018,6:04:50 AM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
51,Do Nothing,Sample,Reps,Alkanes #11 2ng/uL split 20-1 100pg on col:2,3/30/2018,6:50:31 AM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
52,Do Nothing,Sample,Reps,Alkanes #11 2ng/uL split 20-1 100pg on col:3,3/30/2018,7:36:14 AM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
53,Do Nothing,Sample,Reps,Alkanes #11 2ng/uL split 20-1 100pg on col:4,3/30/2018,8:21:58 AM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
54,Do Nothing,Sample,Reps,Alkanes #11 2ng/uL split 20-1 100pg on col:5,3/30/2018,9:07:35 AM,Done,5,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,Alkanes (C10-C40) TAF,,
55,Do Nothing,Source and Analyzer Focus,1D,Auto-Tune - Source and Analyzer Focus,4/4/2018,11:28:33 AM,Done,150,,Pest 1D,Pest 1D,,,
56,Do Nothing,Mass Calibration,1D,Auto-Tune - Mass Calibration,4/4/2018,11:29:36 AM,Done,150,,Pest 1D,Pest 1D,,,
57,Do Nothing,Gain Optimization,1D,Auto-Tune - Gain Optimization,4/4/2018,11:35:06 AM,Done,150,,Pest 1D,Pest 1D,,,
58,Do Nothing,Tune Validation,1D,Auto-Tune - Tune Validation,4/4/2018,11:37:11 AM,Done,150,,Pest 1D,Pest 1D,,,
59,Do Nothing,Auto-Tune,1D,Auto-Tune,4/4/2018,11:37:11 AM,Acquisition 4 of 4: Done,150,,Pest 1D,Pest 1D,,,
60,Do Nothing,Sample,1D,,4/4/2018,11:39:47 AM,Error,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
61,Do Nothing,Sample,1D,DCM Blank,4/4/2018,12:21:26 PM,Done,150,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
62,Do Nothing,Sample,1D,DCM Blank:2,4/4/2018,1:03:10 PM,Done,150,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
63,Do Nothing,Sample,1D,OPP L1-0.02 pg/uL Split 20-1 (1 fg on Col) BT-PV2 1D,4/4/2018,1:45:24 PM,Done,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
64,Do Nothing,Sample,1D,OPP L1-0.02 pg/uL Split 20-1 (1 fg on Col) BT-PV2 1D:2,4/4/2018,2:27:20 PM,Done,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
65,Do Nothing,Sample,1D,OPP L1-0.02 pg/uL Split 20-1 (1 fg on Col) BT-PV2 1D:3,4/4/2018,3:09:28 PM,Done,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
66,Do Nothing,Sample,1D,OPP L1-0.02 pg/uL Split 20-1 (1 fg on Col) BT-PV2 1D:4,4/4/2018,3:51:30 PM,Done,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
67,Do Nothing,Sample,1D,OPP L1-0.02 pg/uL Split 20-1 (1 fg on Col) BT-PV2 1D:5,4/4/2018,4:33:36 PM,Done,121,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
68,Do Nothing,Sample,1D,OPP L2-0.05 pg/uL Split 20-1 (2.5 fg on Col) BT-PV2 1D,4/4/2018,5:15:48 PM,Done,122,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
69,Do Nothing,Sample,1D,OPP L2-0.05 pg/uL Split 20-1 (2.5 fg on Col) BT-PV2 1D:2,4/4/2018,5:57:42 PM,Done,122,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
70,Do Nothing,Sample,1D,OPP L2-0.05 pg/uL Split 20-1 (2.5 fg on Col) BT-PV2 1D:3,4/4/2018,6:39:52 PM,Done,122,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
71,Do Nothing,Sample,1D,OPP L2-0.05 pg/uL Split 20-1 (2.5 fg on Col) BT-PV2 1D:4,4/4/2018,7:21:53 PM,Done,122,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
72,Do Nothing,Sample,1D,OPP L2-0.05 pg/uL Split 20-1 (2.5 fg on Col) BT-PV2 1D:5,4/4/2018,8:03:40 PM,Done,122,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
73,Do Nothing,Sample,1D,OPP L3-0.1 pg/uL Split 20-1 (5 fg on Col) BT-PV2 1D,4/4/2018,8:45:46 PM,Done,123,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
74,Do Nothing,Sample,1D,OPP L3-0.1 pg/uL Split 20-1 (5 fg on Col) BT-PV2 1D:2,4/4/2018,9:27:43 PM,Done,123,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
75,Do Nothing,Sample,1D,OPP L3-0.1 pg/uL Split 20-1 (5 fg on Col) BT-PV2 1D:3,4/4/2018,10:09:46 PM,Done,123,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
76,Do Nothing,Sample,1D,OPP L3-0.1 pg/uL Split 20-1 (5 fg on Col) BT-PV2 1D:4,4/4/2018,10:51:56 PM,Done,123,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
77,Do Nothing,Sample,1D,OPP L3-0.1 pg/uL Split 20-1 (5 fg on Col) BT-PV2 1D:5,4/4/2018,11:33:53 PM,Done,123,Agilent 5uL syringe 1uL injection,Pest 1D,Pest 1D,PF Lib-RI-Filt TAF Pest1,,
