Time,Object,Action,Details,User,Name
6/22/2018 5:24,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/22/2018 5:24,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=273.179972,,kiosk_validation,
6/22/2018 5:23,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/22/2018 5:22,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/22/2018 5:22,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/22/2018 5:22,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/22/2018 5:22,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=277.043006,,kiosk_validation,
6/22/2018 5:20,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/22/2018 5:20,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/22/2018 5:20,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/22/2018 5:19,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/22/2018 5:19,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=281.126737,,kiosk_validation,
6/22/2018 5:18,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/22/2018 5:18,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/22/2018 5:18,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/22/2018 2:01,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/22/2018 2:01,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=282.834897,,kiosk_validation,
6/22/2018 2:00,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/22/2018 2:00,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/22/2018 2:00,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/22/2018 2:00,Filament schedule,Turning filament on,,kiosk_validation,
6/22/2018 2:00,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/22/2018 2:00,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/22/2018 2:00,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/22/2018 1:59,Power System,Finished switching to operational mode,,kiosk_validation,
6/22/2018 1:59,Power System,Began switching to operational mode,,kiosk_validation,
6/22/2018 1:59,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/22/2018 1:59,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/22/2018 1:59,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=287.305630,,kiosk_validation,
6/22/2018 1:58,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/22/2018 1:57,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/22/2018 1:57,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/22/2018 1:57,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/22/2018 1:57,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=294.724590,,kiosk_validation,
6/22/2018 1:56,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/22/2018 1:55,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/22/2018 1:55,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 22:39,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 22:39,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=284.739721,,kiosk_validation,
6/21/2018 22:38,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 22:38,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 22:38,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 22:37,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 22:37,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=293.101058,,kiosk_validation,
6/21/2018 22:36,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 22:36,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 22:36,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 22:35,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 22:35,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=296.317724,,kiosk_validation,
6/21/2018 22:34,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 22:33,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 22:33,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 19:15,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 19:15,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=283.932906,,kiosk_validation,
6/21/2018 19:14,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 19:14,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 19:14,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 19:13,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 19:13,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=286.444216,,kiosk_validation,
6/21/2018 19:12,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 19:12,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 19:12,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 19:11,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 19:11,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=291.320070,,kiosk_validation,
6/21/2018 19:10,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 19:10,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 19:10,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 15:54,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 15:54,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=293.392242,,kiosk_validation,
6/21/2018 15:53,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 15:52,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 15:52,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/21/2018 15:52,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 15:52,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 15:52,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 15:52,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 15:52,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 15:52,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 15:52,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/21/2018 15:52,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 15:52,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=300.981208,,kiosk_validation,
6/21/2018 15:50,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 15:50,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 15:50,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/21/2018 15:50,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 15:50,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 15:50,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 15:50,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 15:50,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 15:50,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 15:50,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/21/2018 15:49,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 15:49,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=305.265016,,kiosk_validation,
6/21/2018 15:48,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 15:48,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 15:48,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 15:48,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 12:32,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 12:32,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=302.015192,,kiosk_validation,
6/21/2018 12:31,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 12:30,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 12:30,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 12:30,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 12:30,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=298.730776,,kiosk_validation,
6/21/2018 12:28,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 12:28,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 12:28,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 12:27,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 12:27,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=303.473757,,kiosk_validation,
6/21/2018 12:26,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 12:26,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 12:26,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 12:19,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 12:19,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 12:18,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 11:50,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 11:47,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/21/2018 11:47,Filament schedule,Turning filament off,,kiosk_validation,
6/21/2018 11:40,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 11:40,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 11:10,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 11:08,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/21/2018 11:08,Filament schedule,Turning filament off,,kiosk_validation,
6/21/2018 11:01,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 11:01,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 10:31,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 10:28,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/21/2018 10:28,Filament schedule,Turning filament off,,kiosk_validation,
6/21/2018 10:21,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 10:21,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 9:52,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 9:49,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/21/2018 9:49,Filament schedule,Turning filament off,,kiosk_validation,
6/21/2018 9:42,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 9:41,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 9:13,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 9:10,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/21/2018 9:10,Filament schedule,Turning filament off,,kiosk_validation,
6/21/2018 9:09,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 9:09,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 9:08,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/21/2018 9:08,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 9:08,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=308.656825,,kiosk_validation,
6/21/2018 9:07,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 9:07,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 9:07,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/21/2018 9:07,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 9:07,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 9:07,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 9:07,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 9:07,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 9:07,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 9:06,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/21/2018 9:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 9:06,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=318.347394,,kiosk_validation,
6/21/2018 9:05,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 9:05,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 9:05,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 9:04,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 9:04,Detector Measurement v5,Voltage=2205.100000 AreaPerIon=316.775557,,kiosk_validation,
6/21/2018 9:03,Detector Measurement v5,Setting detector voltage to 2205.100000,,kiosk_validation,
6/21/2018 9:03,Detector Measurement v5,Setting detector voltage to 2055.100000,,kiosk_validation,
6/21/2018 9:03,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
